age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,Gov,278.4169535067863,Bachelors,13,Never-married,Adm-clerical,Other,White,Male,2.348586799376306,0.0,40,United-States,0
50,Private,288.63644953470447,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,13,United-States,0
38,Private,464.37700201452697,College,9,No spouse,Handlers-cleaners,Other,White,Male,0.0,0.0,40,United-States,0
53,Private,484.4801337516328,School,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40,United-States,0
28,Private,581.7293184978732,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0.0,0.0,40,Cuba,0
37,Private,533.4622760795744,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40,United-States,0
49,Private,400.23368174105485,School,5,No spouse,Other-service,Other,Black,Female,0.0,0.0,16,Jamaica,0
52,Private,457.86679285573877,College,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45,United-States,1
31,Private,213.96495040076073,Masters,14,Never-married,Prof-specialty,Other,White,Female,2.890477262263893,0.0,50,United-States,1
42,Private,399.3106560060725,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2.5863343733608684,0.0,40,United-States,1
37,Private,529.5885195130272,College,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,80,United-States,1
30,Gov,375.8949321286468,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,40,India,1
23,Private,349.67413401622946,Bachelors,13,Never-married,Adm-clerical,Other,White,Female,0.0,0.0,30,United-States,0
32,Private,452.79023841067954,Assoc,12,Never-married,Sales,Other,Black,Male,0.0,0.0,50,United-States,0
40,Private,348.95845024873665,Assoc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40,United-States,1
34,Private,495.46644689625555,School,4,Married-civ-spouse,Transport-moving,Husband,Other,Male,0.0,0.0,45,Mexico,0
25,Private,420.42359591250346,College,9,Never-married,Farming-fishing,Other,White,Male,0.0,0.0,35,United-States,0
32,Private,432.231419496547,College,9,Never-married,Machine-op-inspct,Other,White,Male,0.0,0.0,40,United-States,0
38,Private,169.96176040509818,School,7,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,0
43,Private,540.5321452050747,Masters,14,No spouse,Exec-managerial,Other,White,Female,0.0,0.0,45,United-States,1
40,Private,439.9136278862022,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60,United-States,1
54,Private,549.6780876112855,College,9,No spouse,Other-service,Other,Black,Female,0.0,0.0,20,United-States,0
35,Federal-gov,277.2093072030591,School,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.0,0.0,40,United-States,0
43,Private,342.1067084989711,School,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,2.3322976294352005,40,United-States,0
59,Private,330.1741964478751,College,9,No spouse,Tech-support,Other,White,Female,0.0,0.0,40,United-States,0
56,Gov,465.6726317919059,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40,United-States,1
19,Private,410.23651714590204,College,9,Never-married,Craft-repair,Other,White,Male,0.0,0.0,40,United-States,0
54,Private,424.5126617664072,College,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,60,South,1
39,Private,606.0198016566785,College,9,No spouse,Exec-managerial,Other,White,Male,0.0,0.0,80,United-States,0
49,Private,439.7340105108996,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
23,Gov,436.70241583943636,Assoc,12,Never-married,Protective-serv,Other,White,Male,0.0,0.0,52,United-States,0
20,Private,515.7664200003719,College,10,Never-married,Sales,Other,Black,Male,0.0,0.0,44,United-States,0
45,Private,622.0450144483115,Bachelors,13,No spouse,Exec-managerial,Other,White,Male,0.0,2.2379209372605566,40,United-States,0
30,Federal-gov,244.84893301789165,College,10,Married-civ-spouse,Adm-clerical,Other,White,Male,0.0,0.0,40,United-States,0
22,Gov,558.13260073212,College,10,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,15,United-States,0
48,Private,492.3474382994188,School,7,Never-married,Machine-op-inspct,Other,White,Male,0.0,0.0,40,Puerto-Rico,0
21,Private,444.07206622349037,College,10,Never-married,Machine-op-inspct,Other,White,Male,0.0,0.0,40,United-States,0
19,Private,737.6252436027389,College,9,No spouse,Adm-clerical,Wife,White,Female,0.0,0.0,25,United-States,0
31,Private,290.09308850780985,College,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,38,United-States,1
48,Private,515.2446021066111,Assoc,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,0
31,Private,712.6534922386896,School,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,43,United-States,0
53,Private,297.4995798316361,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,0
24,Private,415.91705903941954,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50,United-States,0
49,Private,307.632898110719,College,9,No spouse,Adm-clerical,Other,White,Female,0.0,0.0,40,United-States,0
25,Private,538.4979108594573,College,9,Never-married,Handlers-cleaners,Other,White,Male,0.0,0.0,35,United-States,0
57,Federal-gov,581.2873643904536,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,40,United-States,1
53,Private,379.94868074517643,College,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,38,United-States,0
44,Private,358.2652648527345,Masters,14,No spouse,Exec-managerial,Other,White,Female,0.0,0.0,40,United-States,0
41,Gov,318.752254893985,Assoc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
29,Private,521.0239917700527,Assoc,11,Never-married,Prof-specialty,Other,White,Male,0.0,0.0,43,United-States,0
25,Private,179.65244223221683,College,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0.0,0.0,40,United-States,0
18,Private,476.3989924422595,College,9,Never-married,Other-service,Other,White,Female,0.0,0.0,30,United-States,0
47,Private,227.67301113658598,Doctorate,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,2.3139646691309244,60,Honduras,1
50,Federal-gov,501.58249570733625,Bachelors,13,No spouse,Exec-managerial,Other,White,Male,0.0,0.0,55,United-States,1
47,Self-emp-inc,331.409112729267,College,9,No spouse,Exec-managerial,Other,White,Male,0.0,0.0,60,United-States,0
43,Private,487.8452623527259,College,10,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40,United-States,1
46,Private,465.47395201020646,School,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,Mexico,0
35,Private,237.38576199932464,Assoc,11,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40,Puerto-Rico,0
41,Private,383.8906094188812,College,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,48,United-States,0
30,Private,433.7579970444349,College,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2.577044792151545,0.0,40,United-States,0
30,Private,243.91801901458612,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2.3753059989841985,0.0,40,United-States,0
32,Private,542.1586483678002,School,4,No spouse,Prof-specialty,Other,White,Male,0.0,0.0,40,United-States,0
48,Private,386.8332974292673,College,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,0
42,Private,341.51427495787055,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45,United-States,1
29,Private,324.9584588835933,College,10,No spouse,Tech-support,Other,White,Male,0.0,0.0,58,United-States,0
36,Private,394.38179471167274,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
28,Private,427.98948585216436,College,10,No spouse,Adm-clerical,Other,White,Female,0.0,0.0,40,United-States,0
53,Private,412.1237678173876,College,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40,United-States,1
49,Self-emp-inc,437.8138873996575,College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,1
25,Private,447.97432962168716,College,10,Never-married,Prof-specialty,Other,White,Male,0.0,0.0,40,United-States,0
19,Private,318.6047708368473,College,10,Never-married,Prof-specialty,Other,White,Male,0.0,0.0,32,United-States,0
31,Private,556.7530871041489,Bachelors,13,No spouse,Sales,Other,Black,Female,0.0,0.0,40,United-States,0
29,Private,402.8622593393429,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,70,United-States,1
23,Private,460.08477479699326,College,10,Never-married,Machine-op-inspct,Other,White,Male,0.0,0.0,40,United-States,0
79,Private,353.19116636745036,College,10,Married-civ-spouse,Prof-specialty,Other,White,Male,0.0,0.0,20,United-States,0
27,Private,462.5159456710655,College,9,Never-married,Other-service,Other,White,Male,0.0,0.0,40,Mexico,0
40,Private,179.4825896849051,Assoc,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40,United-States,0
67,Private,461.25806226016255,School,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,2,United-States,0
18,Private,556.4476615100472,School,7,Never-married,Other-service,Other,White,Female,0.0,0.0,22,United-States,0
